2026-09-19T09:11:27.136857852Z 2026/09/19 09:11:27.136642 level=info event=boot node=kv-n2 variant=buggy lease_ms=5000 tick_ms=25 hb_ms=100 election_ms=600-900 peers=[kv-n1 kv-n3] client=0.0.0.0:8080 peer=0.0.0.0:9090 data_dir="/var/lib/kv" seed=20260906 node_seed=5802359890235138391
2026-09-19T09:11:27.939724762Z 2026/09/19 09:11:27.939543 level=info event=election_start node=kv-n2 term=1 last_index=0 last_term=0
2026-09-19T09:11:27.946467591Z 2026/09/19 09:11:27.946320 level=info event=elected node=kv-n2 term=1 noop_index=1
2026-09-19T09:11:36.689242556Z 2026/09/19 09:11:36.689029 level=warn event=request_error node=kv-n2 status=504 code=READ_TIMEOUT msg="context canceled"
2026-09-19T09:11:37.187080743Z 2026/09/19 09:11:37.186935 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.188505074Z 2026/09/19 09:11:37.188450 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.188613506Z 2026/09/19 09:11:37.188484 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.189025705Z 2026/09/19 09:11:37.188881 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.194350376Z 2026/09/19 09:11:37.194239 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.196335164Z 2026/09/19 09:11:37.196213 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.197983800Z 2026/09/19 09:11:37.197896 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.198013021Z 2026/09/19 09:11:37.197933 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
2026-09-19T09:11:37.199847791Z 2026/09/19 09:11:37.199728 level=warn event=request_error node=kv-n2 status=504 code=CLIENT_GONE msg=""
